Anio,Codigo,Departamento,Población,Camas de hospitalización,Camas de observación,Consultorios de consulta externa,Consultorios en el servicio de urgencias,Mesas de partos,Número de unidades de odontología,Salas de quirófanos,Camas de hospitalización/Habitantes,Camas de observación/Habitantes,Consultorios de consulta externa/Habitantes,Consultorios en el servicio de urgencias/Habitantes,Mesas de partos/Habitantes,Número de unidades de odontología/Habitantes,Salas de quirófanos/Habitantes
2006,94.0,Guainía,31881.0,59,6,12,2,5,7,2,185.06,18.82,37.64,6.27,15.68,21.96,6.27
2006,95.0,Guaviare,73001.0,144,34,34,13,11,11,2,197.26,46.57,46.57,17.81,15.07,15.07,2.74
2006,41.0,Huila,953776.0,819,221,224,53,50,120,14,85.87,23.17,23.49,5.56,5.24,12.58,1.47
2006,44.0,La Guajira,660570.0,323,94,138,30,29,77,12,48.9,14.23,20.89,4.54,4.39,11.66,1.82
2006,47.0,Magdalena,1116037.0,521,157,225,52,71,113,23,46.68,14.07,20.16,4.66,6.36,10.13,2.06
2006,50.0,Meta,815191.0,605,173,152,41,42,70,10,74.22,21.22,18.65,5.03,5.15,8.59,1.23
2006,,Nacional,42170126.0,24945,6360,8171,1815,1546,3689,764,59.15,15.08,19.38,4.3,3.67,8.75,1.81
2006,52.0,Nariño,1525110.0,592,363,447,127,89,236,20,38.82,23.8,29.31,8.33,5.84,15.47,1.31
2006,54.0,Norte de Santander,1312357.0,856,274,205,65,67,126,18,65.23,20.88,15.62,4.95,5.11,9.6,1.37
2006,86.0,Putumayo,272524.0,327,79,69,14,15,46,8,119.99,28.99,25.32,5.14,5.5,16.88,2.94
2006,63.0,Quindío,512589.0,512,115,122,31,18,65,11,99.89,22.44,23.8,6.05,3.51,12.68,2.15
2006,66.0,Risaralda,884021.0,616,165,220,36,24,81,15,69.68,18.66,24.89,4.07,2.71,9.16,1.7
2006,68.0,Santander,1905930.0,1700,286,352,121,110,179,51,89.2,15.01,18.47,6.35,5.77,9.39,2.68
2006,70.0,Sucre,792200.0,550,194,176,44,41,64,18,69.43,24.49,22.22,5.55,5.18,8.08,2.27
2006,73.0,Tolima,1306185.0,1022,193,217,73,63,113,22,78.24,14.78,16.61,5.59,4.82,8.65,1.68
2006,76.0,Valle del Cauca,4236968.0,1875,443,842,117,73,318,68,44.25,10.46,19.87,2.76,1.72,7.51,1.6
2006,97.0,Vaupés,26658.0,28,6,3,1,1,3,1,105.03,22.51,11.25,3.75,3.75,11.25,3.75
2006,99.0,Vichada,79978.0,92,12,19,7,7,16,5,115.03,15.0,23.76,8.75,8.75,20.01,6.25
2007,91.0,Amazonas,62028.0,85,29,32,10,10,12,3,137.03,46.75,51.59,16.12,16.12,19.35,4.84
2007,5.0,Antioquia,5595180.0,3108,686,1175,212,169,491,73,55.55,12.26,21.0,3.79,3.02,8.78,1.3
2007,81.0,Arauca,223453.0,181,52,71,14,9,33,10,81.0,23.27,31.77,6.27,4.03,14.77,4.48
2007,8.0,Atlántico,2174988.0,980,193,258,54,47,91,17,45.06,8.87,11.86,2.48,2.16,4.18,0.78
2007,11.0,"Bogotá, D.C.",6884569.0,2771,378,850,108,38,284,73,40.25,5.49,12.35,1.57,0.55,4.13,1.06
2007,13.0,Bolívar,1845963.0,657,292,314,70,75,143,15,35.59,15.82,17.01,3.79,4.06,7.75,0.81
2007,15.0,Boyacá,1149909.0,882,254,431,104,79,257,29,76.7,22.09,37.48,9.04,6.87,22.35,2.52
2007,17.0,Caldas,990445.0,886,152,245,58,49,125,23,89.45,15.35,24.74,5.86,4.95,12.62,2.32
2007,18.0,Caquetá,384137.0,327,79,58,19,24,44,6,85.13,20.57,15.1,4.95,6.25,11.45,1.56
2007,85.0,Casanare,340028.0,301,76,143,26,21,50,5,88.52,22.35,42.06,7.65,6.18,14.7,1.47
2007,19.0,Cauca,1310940.0,650,244,283,58,69,154,17,49.58,18.61,21.59,4.42,5.26,11.75,1.3
2007,20.0,Cesar,978523.0,812,180,253,72,56,86,15,82.98,18.4,25.86,7.36,5.72,8.79,1.53
2007,27.0,Chocó,426077.0,275,113,59,16,35,36,6,64.54,26.52,13.85,3.76,8.21,8.45,1.41
2007,25.0,Cundinamarca,1975124.0,1713,360,537,110,68,235,62,86.73,18.23,27.19,5.57,3.44,11.9,3.14
2007,23.0,Córdoba,1579557.0,741,149,279,55,45,109,15,46.91,9.43,17.66,3.48,2.85,6.9,0.95
2007,94.0,Guainía,33073.0,59,6,11,4,5,8,3,178.39,18.14,33.26,12.09,15.12,24.19,9.07
2007,95.0,Guaviare,72829.0,142,16,31,13,11,11,2,194.98,21.97,42.57,17.85,15.1,15.1,2.75
2007,41.0,Huila,965725.0,799,255,235,59,50,146,13,82.74,26.41,24.33,6.11,5.18,15.12,1.35
2007,44.0,La Guajira,675638.0,340,108,137,49,28,68,13,50.32,15.98,20.28,7.25,4.14,10.06,1.92
2007,47.0,Magdalena,1134297.0,631,166,217,57,69,113,17,55.63,14.63,19.13,5.03,6.08,9.96,1.5
2007,50.0,Meta,836039.0,613,160,153,47,40,71,10,73.32,19.14,18.3,5.62,4.78,8.49,1.2
2007,,Nacional,42596590.0,25121,6010,8516,1834,1511,3861,636,58.97,14.11,19.99,4.31,3.55,9.06,1.49
2007,52.0,Nariño,1538254.0,692,396,427,115,89,245,19,44.99,25.74,27.76,7.48,5.79,15.93,1.24
2007,54.0,Norte de Santander,1326434.0,847,243,227,68,73,121,15,63.86,18.32,17.11,5.13,5.5,9.12,1.13
2007,86.0,Putumayo,278737.0,331,74,74,14,16,38,9,118.75,26.55,26.55,5.02,5.74,13.63,3.23
2007,63.0,Quindío,513802.0,498,101,134,30,16,67,10,96.92,19.66,26.08,5.84,3.11,13.04,1.95
2007,66.0,Risaralda,889400.0,626,186,217,39,26,84,14,70.38,20.91,24.4,4.38,2.92,9.44,1.57
2007,68.0,Santander,1929120.0,1635,232,366,113,108,176,45,84.75,12.03,18.97,5.86,5.6,9.12,2.33
2007,70.0,Sucre,800848.0,567,171,183,46,42,67,8,70.8,21.35,22.85,5.74,5.24,8.37,1.0
2007,73.0,Tolima,1307950.0,1033,181,292,71,60,111,19,78.98,13.84,22.33,5.43,4.59,8.49,1.45
2007,76.0,Valle del Cauca,4263327.0,1819,460,801,115,76,365,64,42.67,10.79,18.79,2.7,1.78,8.56,1.5
