Codigo_Departamento,Departamento,Codigo_Municipio,Municipio,Municipio_Departamento,Población,Distancia_IPS_Nivel_1_Modelo,Distancia_IPS_Nivel_2_Modelo,Distancia_IPS_Nivel_3_Modelo,Distancia_Poblacion_IPS_Nivel_1_Modelo,Distancia_Poblacion_IPS_Nivel_2_Modelo,Distancia_Poblacion_IPS_Nivel_3_Modelo,Distancia_IPS_Nivel_1_Publicas,Distancia_IPS_Nivel_2_Publicas,Distancia_IPS_Nivel_3_Publicas,Distancia_Poblacion_IPS_Nivel_1_Publicas,Distancia_Poblacion_IPS_Nivel_2_Publicas,Distancia_Poblacion_IPS_Nivel_3_Publicas
47,Magdalena,47161,Cerro de San Antonio,Cerro de San Antonio (Magdalena),10954,0.0,11.45047500612946,37.788456336007904,0.0,0.002431673967956349,0.008024925211603633,0.0,37.788456336007904,37.788456336007904,0.0,0.008024925211603633,0.008024925211603633
13,Bolívar,13140,Calamar,Calamar (Bolívar),24331,0.0,21.92613568539,51.92514296061808,0.0,0.010342634130893476,0.02449326974628997,0.0,51.92514296061808,51.92514296061808,0.0,0.02449326974628997,0.02449326974628997
20,Cesar,20750,San Diego,San Diego (Cesar),21311,0.0,19.39742484330665,19.39742484330665,0.0,0.008014141620491834,0.008014141620491834,0.0,19.39742484330665,123.96870120203307,0.0,0.008014141620491834,0.051218279537984704
8,Atlántico,8770,Suan,Suan (Atlántico),12959,0.0,8.462525415873266,34.870495563817386,0.0,0.0021260847956195935,0.008760698112042503,0.0,34.870495563817386,34.870495563817386,0.0,0.008760698112042503,0.008760698112042503
13,Bolívar,13052,Arjona,Arjona (Bolívar),74773,0.0,20.913352264712863,34.46114774825443,0.0,0.030316395497876788,0.04995553898882273,0.0,34.46114774825443,34.46114774825443,0.0,0.04995553898882273,0.04995553898882273
13,Bolívar,13433,Mahates,Mahates (Bolívar),29829,0.0,26.40390378328665,43.93080719438347,0.0,0.015269187968656709,0.02540487036202799,0.0,43.93080719438347,43.93080719438347,0.0,0.02540487036202799,0.02540487036202799
13,Bolívar,13838,Turbaná,Turbaná (Bolívar),17641,0.0,12.52443761094356,23.47756876550997,0.0,0.004283418809893488,0.00802944314025586,0.0,23.47756876550997,23.47756876550997,0.0,0.00802944314025586,0.00802944314025586
47,Magdalena,47541,Pedraza,Pedraza (Magdalena),10236,0.0,26.06500654135663,53.52098542747294,0.0,0.005172460958009676,0.01062095292853895,0.0,49.474512616746864,53.52098542747294,0.0,0.009817952069977152,0.01062095292853895
47,Magdalena,47170,Chibolo,Chibolo (Magdalena),24291,0.0,37.44055553957393,74.52585344832428,0.0,0.017631805399625083,0.03509631003880091,0.0,37.44055553957393,74.52585344832428,0.0,0.017631805399625083,0.03509631003880091
20,Cesar,20013,Agustín Codazzi,Agustín Codazzi (Cesar),68472,0.0,0.0,39.359460550128205,0.0,0.0,0.05224819079278458,0.0,39.359460550128205,148.56121971039238,0.0,0.05224819079278458,0.1972093835471047
13,Bolívar,13248,El Guamo,El Guamo (Bolívar),9314,0.0,16.80317096888546,65.06949497016748,0.0,0.003034146774866415,0.011749591709297205,0.0,44.816606313354825,65.06949497016748,0.0,0.008092529782498714,0.011749591709297205
70,Sucre,70713,San Onofre,San Onofre (Sucre),55425,0.0,0.0,55.66067695893493,0.0,0.0,0.05980855249596521,0.0,40.164150114491726,71.94608230862596,0.0,0.04315721280843673,0.07730755850866007
13,Bolívar,13657,San Juan Nepomuceno,San Juan Nepomuceno (Bolívar),39655,0.0,0.0,69.70872193552078,0.0,0.0,0.053591286200915834,0.0,31.335495194187025,69.70872193552078,0.0,0.024090378428576385,0.053591286200915834
13,Bolívar,13442,María La Baja,María La Baja (Bolívar),49995,0.0,25.143712608668388,55.36795868620956,0.0,0.024370536085923197,0.05366537774938545,0.0,36.72794367759504,55.36795868620956,0.0,0.03559854865856217,0.05366537774938545
20,Cesar,20060,Bosconia,Bosconia (Cesar),45247,0.0,0.0,53.9710333631588,0.0,0.0,0.04734342015899507,0.0,53.9710333631588,130.040691319534,0.0,0.04734342015899507,0.11407176596899148
47,Magdalena,47798,Tenerife,Tenerife (Magdalena),14482,0.0,22.377306632345533,80.94036641525997,0.0,0.006282687549423409,0.022724943652864465,0.0,22.377306632345533,80.94036641525997,0.0,0.006282687549423409,0.022724943652864465
47,Magdalena,47555,Plato,Plato (Magdalena),68466,0.0,0.0,101.9874018664701,0.0,0.0,0.1353725437834926,0.0,0.0,101.9874018664701,0.0,0.0,0.1353725437834926
47,Magdalena,47058,Ariguaní,Ariguaní (Magdalena),33252,0.0,26.96491771732743,80.81586673288834,0.0,0.017383049906454593,0.0520982952508122,0.0,57.19212431077207,129.21935610643263,0.0,0.036869148334595446,0.08330181236320407
20,Cesar,20045,Becerril,Becerril (Cesar),24351,0.0,24.1219301535788,58.80796902819122,0.0,0.011387750990159432,0.02776272475984649,0.0,46.48779359392146,169.0579633281177,0.0,0.021946478335646964,0.07981077704092773
13,Bolívar,13654,San Jacinto,San Jacinto (Bolívar),25459,0.0,15.319841156477931,67.59680612051663,0.0,0.0075614434618930275,0.033363885595426176,0.0,16.034611751411216,79.50460388121034,0.0,0.007914234159042412,0.03924124023660461
13,Bolívar,13244,El Carmen de Bolívar,El Carmen de Bolívar (Bolívar),75188,0.0,0.0,51.95920801029213,0.0,0.0,0.07573910368350453,0.0,0.0,90.67581413302088,0.0,0.0,0.13217493397602775
20,Cesar,20250,El Paso,El Paso (Cesar),42198,0.0,32.29055910189462,66.73298574785355,0.0,0.02641657677718316,0.054593574425764846,0.0,35.26563443057252,159.9158693657796,0.0,0.028850455533816755,0.13082554029679974
13,Bolívar,13894,Zambrano,Zambrano (Bolívar),12672,0.0,30.713769872541693,76.85513552102637,0.0,0.007545489098385452,0.01888109436371352,0.0,30.713769872541693,97.38616299182114,0.0,0.007545489098385452,0.02392497678525991
47,Magdalena,47707,Santa Ana,Santa Ana (Magdalena),27319,0.0,0.0,110.4070160435351,0.0,0.0,0.05847504657067618,0.0,34.16488578967987,135.89289903627883,0.0,0.018094803747305377,0.07197317602204956
47,Magdalena,47545,Pijiño del Carmen,Pijiño del Carmen (Magdalena),13310,0.0,31.277556079277453,107.09698123763454,0.0,0.00807086295047953,0.027635313187135486,0.0,49.38242162629543,149.90625614358515,0.0,0.012742643833758062,0.038681821741051614
70,Sucre,70508,Ovejas,Ovejas (Sucre),23580,0.0,16.945720875661234,37.11267430066695,0.0,0.0077466325285027535,0.01696583179121062,0.0,16.945720875661234,105.32722241429184,0.0,0.0077466325285027535,0.0481496947387645
20,Cesar,20400,La Jagua de Ibirico,La Jagua de Ibirico (Cesar),52623,0.0,0.0,78.60772394382737,0.0,0.0,0.08019548730550477,0.0,26.870019899191817,180.8269783998085,0.0,0.027412755790565114,0.18447942419904334
70,Sucre,70230,Chalán,Chalán (Sucre),4731,0.0,19.589434491438176,30.36392615801818,0.0,0.0017967346895137923,0.00278496653192265,8.669777323737161,23.2499877547153,99.9634104910387,0.0007951883284189172,0.002132479094683707,0.009168601951723322
13,Bolívar,13212,Córdoba,Córdoba (Bolívar),17228,0.0,33.89234667834133,63.97179405317203,0.0,0.011319978681633595,0.021366456320669327,0.0,33.89234667834133,119.41915086727792,0.0,0.011319978681633595,0.03988576697937073
70,Sucre,70823,Tolú Viejo,Tolú Viejo (Sucre),22803,0.0,16.823383001541167,19.25455606825928,0.0,0.007437285018721345,0.008512058566072971,0.0,19.25455606825928,107.64782318242273,0.0,0.008512058566072971,0.04758897438043551
