Codigo,DPNOM,MPIO,Municipio_y,Municipio_Departamento,IPS_2022,IPS/Habitantes
25,Cundinamarca,25286,Funza,Funza (Cundinamarca),27.0,25.0
85,Casanare,85300,Sabanalarga,Sabanalarga (Casanare),1.0,25.0
76,Valle del Cauca,76616,Riofrío,Riofrío (Valle del cauca),4.0,25.0
19,Cauca,19300,,Guachené (Cauca),5.0,25.0
15,Boyacá,15798,Tenza,Tenza (Boyacá),1.0,25.0
19,Cauca,19622,Rosas,Rosas (Cauca),3.0,25.0
13,Bolívar,13667,San Martín de Loba,San Martín de Loba (Bolívar),4.0,25.0
47,Magdalena,47053,Aracataca,Aracataca (Magdalena),11.0,25.0
20,Cesar,20045,Becerril,Becerril (Cesar),6.0,25.0
17,Caldas,17174,Chinchiná,Chinchiná (Caldas),13.0,25.0
15,Boyacá,15842,Úmbita,Úmbita (Boyacá),2.0,25.0
5,Antioquia,5264,Entrerríos,Entrerríos (Antioquia),3.0,25.0
